-5.00E-02
3.20E+01	4.00E+01	3.34E+44	4.31E+39	2.90E+39	1.91E+40	2.47E+35	1.66E+35			
4.00E+01	4.80E+01	7.46E+40	2.01E+36	2.18E+36	5.24E+36	1.41E+32	1.53E+32			
4.80E+01	5.80E+01	3.91E+36	1.72E+32	2.03E+32	3.30E+32	1.45E+28	1.72E+28			
5.80E+01	6.80E+01	9.82E+31	1.03E+28	1.82E+28	9.88E+27	1.04E+24	1.83E+24			
6.80E+01	8.00E+01	9.63E+26	3.06E+26	9.19E+25	1.14E+23	3.61E+22	1.09E+22			
8.00E+01	9.50E+01	4.74E+26	4.70E+26	1.02E+26	6.62E+22	6.56E+22	1.42E+22			
9.50E+01	1.15E+02	8.10E+26	8.06E+26	1.69E+26	1.36E+23	1.35E+23	2.83E+22			
1.15E+02	1.45E+02	1.54E+27	1.52E+27	3.19E+26	3.17E+23	3.15E+23	6.59E+22			
1.45E+02	1.85E+02	3.14E+27	3.10E+27	6.52E+26	8.22E+23	8.12E+23	1.71E+23			
1.85E+02	2.35E+02	6.46E+27	6.34E+27	1.34E+27	2.16E+24	2.12E+24	4.49E+23			
2.35E+02	3.00E+02	1.32E+28	1.29E+28	2.75E+27	5.61E+24	5.47E+24	1.17E+24			
										
-2.00E-02										
0.00E+00	1.00E+00	2.31E+54	1.07E+53	7.73E+49	3.70E+47	1.72E+46	1.24E+43			
1.00E+00	2.50E+00	1.40E+55	3.96E+52	1.56E+51	3.55E+49	1.00E+47	3.94E+45			
2.50E+00	4.50E+00	4.22E+55	9.71E+51	9.91E+50	2.27E+50	5.21E+46	5.32E+45			
4.50E+00	7.00E+00	4.76E+55	1.78E+51	3.08E+50	4.28E+50	1.60E+46	2.77E+45			
7.00E+00	1.00E+01	3.18E+55	2.52E+50	6.04E+49	4.26E+50	3.37E+45	8.09E+44			
1.00E+01	1.40E+01	8.70E+54	1.93E+49	6.03E+48	1.65E+50	3.65E+44	1.14E+44			
1.40E+01	1.90E+01	2.88E+53	5.50E+47	2.11E+47	7.53E+48	1.44E+43	5.52E+42			
1.90E+01	2.50E+01	1.54E+51	4.94E+45	2.26E+45	5.36E+46	1.72E+41	7.88E+40			
2.50E+01	3.20E+01	2.22E+48	1.31E+43	7.75E+42	1.01E+44	5.94E+38	3.51E+38			
3.20E+01	4.00E+01	9.34E+44	1.04E+40	8.37E+39	5.35E+40	5.93E+35	4.80E+35			
4.00E+01	4.80E+01	2.49E+41	6.14E+36	8.83E+36	1.75E+37	4.31E+32	6.19E+32			
4.80E+01	5.80E+01	1.52E+37	6.10E+32	9.41E+32	1.29E+33	5.16E+28	7.95E+28			
5.80E+01	6.80E+01	4.86E+32	4.74E+28	1.20E+29	4.89E+28	4.77E+24	1.21E+25			
6.80E+01	8.00E+01	4.46E+27	3.13E+26	1.20E+26	5.27E+23	3.70E+22	1.42E+22			
8.00E+01	9.50E+01	4.77E+26	4.71E+26	1.05E+26	6.66E+22	6.58E+22	1.47E+22			
9.50E+01	1.15E+02	8.10E+26	8.06E+26	1.69E+26	1.36E+23	1.35E+23	2.83E+22			
1.15E+02	1.45E+02	1.54E+27	1.52E+27	3.19E+26	3.18E+23	3.15E+23	6.60E+22			
1.45E+02	1.85E+02	3.14E+27	3.10E+27	6.52E+26	8.23E+23	8.12E+23	1.71E+23			
1.85E+02	2.35E+02	6.46E+27	6.34E+27	1.34E+27	2.16E+24	2.12E+24	4.49E+23			
2.35E+02	3.00E+02	1.32E+28	1.29E+28	2.75E+27	5.62E+24	5.48E+24	1.17E+24			
										
-1.50E-02										
0.00E+00	1.00E+00	2.18E+54	1.08E+53	6.34E+49	3.49E+47	1.73E+46	1.02E+43			
1.00E+00	2.50E+00	1.39E+55	4.07E+52	1.55E+51	3.53E+49	1.03E+47	3.91E+45			
2.50E+00	4.50E+00	4.40E+55	1.13E+52	9.84E+50	2.36E+50	6.06E+46	5.28E+45			
4.50E+00	7.00E+00	5.42E+55	2.03E+51	3.12E+50	4.87E+50	1.83E+46	2.81E+45			
7.00E+00	1.00E+01	4.27E+55	2.92E+50	6.46E+49	5.73E+50	3.92E+45	8.65E+44			
1.00E+01	1.40E+01	1.42E+55	2.45E+49	7.33E+48	2.69E+50	4.64E+44	1.39E+44			
1.40E+01	1.90E+01	6.20E+53	8.27E+47	3.32E+47	1.62E+49	2.16E+43	8.68E+42			
1.90E+01	2.50E+01	3.67E+51	9.09E+45	4.66E+45	1.28E+47	3.17E+41	1.62E+41			
2.50E+01	3.20E+01	6.12E+48	3.01E+43	2.12E+43	2.77E+44	1.36E+39	9.60E+38			
3.20E+01	4.00E+01	3.07E+45	2.99E+40	3.05E+40	1.76E+41	1.72E+36	1.75E+36			
4.00E+01	4.80E+01	1.04E+42	2.41E+37	5.04E+37	7.30E+37	1.69E+33	3.54E+33			
4.80E+01	5.80E+01	7.82E+37	2.87E+33	6.26E+33	6.60E+33	2.43E+29	5.29E+29			
