E_nu nue anue nux
3.240000e+01 4.419293e+54 1.414002e+55 2.186257e+55
3.260000e+01 4.242550e+54 1.377549e+55 2.151521e+55
3.280000e+01 4.072650e+54 1.341961e+55 2.117206e+55
3.300000e+01 3.909340e+54 1.307219e+55 2.083310e+55
3.320000e+01 3.752377e+54 1.273229e+55 2.049835e+55
3.340000e+01 3.601525e+54 1.240139e+55 2.016778e+55
3.360000e+01 3.456556e+54 1.207837e+55 1.984138e+55
3.380000e+01 3.317251e+54 1.176380e+55 1.951915e+55
3.400000e+01 3.183398e+54 1.145621e+55 1.920106e+55
3.420000e+01 3.054792e+54 1.115609e+55 1.888711e+55
3.440000e+01 2.931236e+54 1.086330e+55 1.857727e+55
3.460000e+01 2.812540e+54 1.057767e+55 1.827153e+55
3.480000e+01 2.698520e+54 1.029905e+55 1.796987e+55
3.500000e+01 2.588999e+54 1.002730e+55 1.767226e+55
3.520000e+01 2.483806e+54 9.762264e+54 1.737869e+55
3.540000e+01 2.382776e+54 9.503794e+54 1.708913e+55
3.560000e+01 2.285751e+54 9.251749e+54 1.680374e+55
3.580000e+01 2.192577e+54 9.005987e+54 1.652211e+55
3.600000e+01 2.103107e+54 8.766367e+54 1.624442e+55
3.620000e+01 2.017199e+54 8.532755e+54 1.597062e+55
3.640000e+01 1.934716e+54 8.305014e+54 1.570071e+55
3.660000e+01 1.855525e+54 8.083012e+54 1.543463e+55
3.680000e+01 1.779501e+54 7.866620e+54 1.517220e+55
3.700000e+01 1.706519e+54 7.655709e+54 1.491372e+55
3.720000e+01 1.636463e+54 7.450154e+54 1.465900e+55
3.740000e+01 1.569218e+54 7.249833e+54 1.440799e+55
3.760000e+01 1.504675e+54 7.054627e+54 1.416068e+55
3.780000e+01 1.442729e+54 6.864410e+54 1.391700e+55
3.800000e+01 1.383279e+54 6.679069e+54 1.367695e+55
3.820000e+01 1.326227e+54 6.498491e+54 1.344048e+55
3.840000e+01 1.271478e+54 6.322563e+54 1.320755e+55
3.860000e+01 1.218943e+54 6.151176e+54 1.297814e+55
3.880000e+01 1.168535e+54 5.984221e+54 1.275220e+55
3.900000e+01 1.120169e+54 5.821594e+54 1.252971e+55
3.920000e+01 1.073766e+54 5.663258e+54 1.231062e+55
3.940000e+01 1.029247e+54 5.508973e+54 1.209489e+55
3.960000e+01 9.865389e+53 5.358712e+54 1.188250e+55
3.980000e+01 9.455688e+53 5.212376e+54 1.167341e+55
4.000000e+01 9.062682e+53 5.069871e+54 1.146757e+55
4.020000e+01 8.685708e+53 4.931104e+54 1.126495e+55
4.040000e+01 8.324127e+53 4.795982e+54 1.106552e+55
4.060000e+01 7.977329e+53 4.664417e+54 1.086923e+55
4.080000e+01 7.644719e+53 4.536321e+54 1.067605e+55
4.100000e+01 7.325732e+53 4.411609e+54 1.048594e+55
4.120000e+01 7.019823e+53 4.290196e+54 1.029887e+55
4.140000e+01 6.726469e+53 4.172002e+54 1.011479e+55
4.160000e+01 6.445166e+53 4.056945e+54 9.933675e+54
4.180000e+01 6.175429e+53 3.944947e+54 9.755483e+54
4.200000e+01 5.916794e+53 3.835933e+54 9.580177e+54
4.220000e+01 5.668814e+53 3.729828e+54 9.407721e+54
4.240000e+01 5.431058e+53 3.626557e+54 9.238077e+54
4.260000e+01 5.203114e+53 3.526049e+54 9.071208e+54
4.280000e+01 4.984586e+53 3.428235e+54 8.907080e+54
4.300000e+01 4.775093e+53 3.333046e+54 8.745656e+54
4.320000e+01 4.574268e+53 3.240415e+54 8.586874e+54
4.340000e+01 4.381757e+53 3.150278e+54 8.430749e+54
4.360000e+01 4.197229e+53 3.062570e+54 8.277218e+54
4.380000e+01 4.020356e+53 2.977229e+54 8.126250e+54
4.400000e+01 3.850826e+53 2.894195e+54 7.977672e+54
4.420000e+01 3.688342e+53 2.813407e+54 7.832128e+54
4.440000e+01 3.532614e+53 2.734809e+54 7.688629e+54
4.460000e+01 3.383365e+53 2.658343e+54 7.547536e+54
4.480000e+01 3.240335e+53 2.583955e+54 7.408851e+54
4.500000e+01 3.103267e+53 2.511591e+54 7.272502e+54
4.520000e+01 2.971917e+53 2.441197e+54 7.138472e+54
4.540000e+01 2.846051e+53 2.372723e+54 7.006473e+54
4.560000e+01 2.725443e+53 2.306118e+54 6.876984e+54
4.580000e+01 2.609879e+53 2.241334e+54 6.749712e+54
4.600000e+01 2.499149e+53 2.178322e+54 6.624626e+54
4.620000e+01 2.393057e+53 2.117037e+54 6.501693e+54
4.640000e+01 2.291410e+53 2.057432e+54 6.380881e+54
4.660000e+01 2.194025e+53 1.999465e+54 6.262159e+54
4.680000e+01 2.100726e+53 1.943090e+54 6.145498e+54
4.700000e+01 2.011346e+53 1.888267e+54 6.030861e+54
4.720000e+01 1.925721e+53 1.834953e+54 5.918220e+54
4.740000e+01 1.843696e+53 1.783110e+54 5.807548e+54
4.760000e+01 1.765123e+53 1.732697e+54 5.698809e+54
4.780000e+01 1.689859e+53 1.683678e+54 5.591977e+54
4.800000e+01 1.617766e+53 1.636014e+54 5.487020e+54
4.820000e+01 1.548712e+53 1.589670e+54 5.383911e+54
4.840000e+01 1.482188e+53 1.544609e+54 5.282621e+54
4.860000e+01 1.418852e+53 1.500799e+54 5.183120e+54
4.880000e+01 1.358190e+53 1.458205e+54 5.085382e+54
4.900000e+01 1.300094e+53 1.416795e+54 4.989377e+54
4.920000e+01 1.244454e+53 1.376536e+54 4.895078e+54
4.940000e+01 1.191170e+53 1.337398e+54 4.802459e+54
4.960000e+01 1.140142e+53 1.299351e+54 4.711493e+54
4.980000e+01 1.091276e+53 1.262364e+54 4.622152e+54
5.000000e+01 1.044481e+53 1.226410e+54 4.534411e+54
